category,scenario,baseline,spearman_rho,spearman_p,signifikan_p<0.05,kendall_tau,kendall_p,mean_abs_rank_shift
melihat,S1,Baseline A,0.8647085216303966,7.230877695422946e-10,True,0.7027668424891568,5.231792470397578e-08,3.533333333333333
melihat,S1,Baseline B,0.8985539488320357,1.5950028657760517e-11,True,0.7241379310344828,3.1012894903301673e-10,2.933333333333333
melihat,S1,Baseline C,0.5416035464049501,0.00199457093657198,True,0.4033626462718301,0.0020749183871709696,6.233333333333333
melihat,S2,Baseline A,0.606809093794671,0.0003777595754450476,True,0.44930994847667405,0.0005012099182891517,5.733333333333333
melihat,S2,Baseline B,0.6373748609566184,0.00015184748841017657,True,0.46206896551724136,0.0002263276900966417,5.733333333333333
melihat,S2,Baseline C,0.8329273650230986,1.128236055838592e-08,True,0.6707076560101362,3.0517724035965117e-07,3.8333333333333335
melihat,S3,Baseline A,0.35180241191396217,0.056588464040463596,False,0.2649776619221411,0.04013352896142688,7.466666666666667
melihat,S3,Baseline B,0.38064516129032255,0.037973775727935886,True,0.2781609195402299,0.03141221831965747,7.533333333333333
melihat,S3,Baseline C,0.9660975945139367,5.2739162062899085e-18,True,0.8583181891598245,5.660025703835118e-11,1.8333333333333333
mendengar,S1,Baseline A,,,False,,,13.8
mendengar,S1,Baseline B,,,False,,,13.8
mendengar,S1,Baseline C,1.0,0.0,True,1.0,8.108085380287863e-14,0.0
mendengar,S2,Baseline A,,,False,,,13.8
mendengar,S2,Baseline B,,,False,,,13.8
mendengar,S2,Baseline C,1.0,0.0,True,1.0,8.108085380287863e-14,0.0
mendengar,S3,Baseline A,,,False,,,13.8
mendengar,S3,Baseline B,,,False,,,13.8
mendengar,S3,Baseline C,1.0,0.0,True,1.0,8.108085380287863e-14,0.0
tangan,S1,Baseline A,0.9254561866857488,2.529102340915571e-13,True,0.7949329857664234,7.408166656512157e-10,2.4
tangan,S1,Baseline B,0.9464901604902808,2.7816462867124332e-15,True,0.8239361036496696,1.6795306723784784e-10,2.033333333333333
tangan,S1,Baseline C,0.5497340359617033,0.001650599552580359,True,0.3799113296281191,0.0037358464513158477,6.233333333333333
tangan,S2,Baseline A,0.8558077648457296,1.6657453823638699e-09,True,0.6797253066698402,1.4035717563133115e-07,3.466666666666667
tangan,S2,Baseline B,0.8477027530484179,3.398381688078583e-09,True,0.6720372688986133,1.8842340037980157e-07,3.566666666666667
tangan,S2,Baseline C,0.7147657546682593,9.100304227004914e-06,True,0.534690019476612,4.4845660405923356e-05,4.766666666666667
tangan,S3,Baseline A,0.67512240211699,4.2649526356487954e-05,True,0.5184345559346238,5.931730154125762e-05,4.866666666666666
tangan,S3,Baseline B,0.6378907593149118,0.0001494042836728831,True,0.4556965042531693,0.0004107380930544776,5.566666666666666
tangan,S3,Baseline C,0.8980847719341905,1.6963777315915567e-11,True,0.7551323959274958,8.239050005531421e-09,2.8333333333333335
