wcag_sc,category,mapping_value,source_type,source_url,justification,mapping_status
1.1.1,melihat,1.0,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/1-1-1,Teks alternatif gambar utamanya dibutuhkan pengguna pembaca layar (kesulitan melihat).,verified
1.1.1,mendengar,0.0,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/1-1-1,Teks alternatif gambar utamanya dibutuhkan pengguna pembaca layar (kesulitan melihat).,verified
1.1.1,tangan,0.1,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/1-1-1,Teks alternatif gambar utamanya dibutuhkan pengguna pembaca layar (kesulitan melihat).,verified
1.3.1,melihat,0.9,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/1-3-1,Struktur info/relasi mendukung navigasi pembaca layar; sebagian relevan bagi navigasi non-mouse.,verified
1.3.1,mendengar,0.0,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/1-3-1,Struktur info/relasi mendukung navigasi pembaca layar; sebagian relevan bagi navigasi non-mouse.,verified
1.3.1,tangan,0.2,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/1-3-1,Struktur info/relasi mendukung navigasi pembaca layar; sebagian relevan bagi navigasi non-mouse.,verified
1.4.1,melihat,1.0,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/1-4-1,Ketergantungan pada warna semata berdampak langsung pada kesulitan melihat/persepsi warna.,verified
1.4.1,mendengar,0.0,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/1-4-1,Ketergantungan pada warna semata berdampak langsung pada kesulitan melihat/persepsi warna.,verified
1.4.1,tangan,0.0,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/1-4-1,Ketergantungan pada warna semata berdampak langsung pada kesulitan melihat/persepsi warna.,verified
1.4.3,melihat,1.0,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/1-4-3,Kontras warna adalah kebutuhan fungsional utama pengguna low vision.,verified
1.4.3,mendengar,0.0,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/1-4-3,Kontras warna adalah kebutuhan fungsional utama pengguna low vision.,verified
1.4.3,tangan,0.0,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/1-4-3,Kontras warna adalah kebutuhan fungsional utama pengguna low vision.,verified
1.4.4,melihat,0.8,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/1-4-4,Kemampuan memperbesar teks utamanya menopang pengguna dengan keterbatasan penglihatan.,verified
1.4.4,mendengar,0.0,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/1-4-4,Kemampuan memperbesar teks utamanya menopang pengguna dengan keterbatasan penglihatan.,verified
1.4.4,tangan,0.1,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/1-4-4,Kemampuan memperbesar teks utamanya menopang pengguna dengan keterbatasan penglihatan.,verified
2.1.1,melihat,0.2,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/2-1-1,Aksesibilitas keyboard adalah kebutuhan inti pengguna dengan keterbatasan tangan/motorik.,verified
2.1.1,mendengar,0.0,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/2-1-1,Aksesibilitas keyboard adalah kebutuhan inti pengguna dengan keterbatasan tangan/motorik.,verified
2.1.1,tangan,1.0,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/2-1-1,Aksesibilitas keyboard adalah kebutuhan inti pengguna dengan keterbatasan tangan/motorik.,verified
2.1.3,melihat,0.2,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/2-1-3,"Cakupan penuh aksesibilitas keyboard tanpa pengecualian, relevansi utama pada kesulitan tangan.",verified
2.1.3,mendengar,0.0,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/2-1-3,"Cakupan penuh aksesibilitas keyboard tanpa pengecualian, relevansi utama pada kesulitan tangan.",verified
2.1.3,tangan,1.0,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/2-1-3,"Cakupan penuh aksesibilitas keyboard tanpa pengecualian, relevansi utama pada kesulitan tangan.",verified
2.2.1,melihat,0.3,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/2-2-1,Batas waktu yang dapat disesuaikan penting bagi pengguna dengan keterbatasan motorik dalam berinteraksi.,verified
2.2.1,mendengar,0.0,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/2-2-1,Batas waktu yang dapat disesuaikan penting bagi pengguna dengan keterbatasan motorik dalam berinteraksi.,verified
2.2.1,tangan,0.8,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/2-2-1,Batas waktu yang dapat disesuaikan penting bagi pengguna dengan keterbatasan motorik dalam berinteraksi.,verified
2.2.2,melihat,0.4,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/2-2-2,Kontrol jeda/berhenti konten bergerak relevan bagi pengguna low vision maupun keterbatasan motorik.,verified
2.2.2,mendengar,0.0,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/2-2-2,Kontrol jeda/berhenti konten bergerak relevan bagi pengguna low vision maupun keterbatasan motorik.,verified
2.2.2,tangan,0.5,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/2-2-2,Kontrol jeda/berhenti konten bergerak relevan bagi pengguna low vision maupun keterbatasan motorik.,verified
2.4.2,melihat,0.7,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/2-4-2,Judul halaman membantu orientasi pengguna pembaca layar saat berpindah halaman/tab.,verified
2.4.2,mendengar,0.0,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/2-4-2,Judul halaman membantu orientasi pengguna pembaca layar saat berpindah halaman/tab.,verified
2.4.2,tangan,0.1,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/2-4-2,Judul halaman membantu orientasi pengguna pembaca layar saat berpindah halaman/tab.,verified
2.4.4,melihat,0.8,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/2-4-4,Kejelasan tujuan tautan penting bagi navigasi pembaca layar dan navigasi non-mouse.,verified
2.4.4,mendengar,0.0,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/2-4-4,Kejelasan tujuan tautan penting bagi navigasi pembaca layar dan navigasi non-mouse.,verified
2.4.4,tangan,0.2,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/2-4-4,Kejelasan tujuan tautan penting bagi navigasi pembaca layar dan navigasi non-mouse.,verified
3.1.1,melihat,0.8,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/3-1-1,Penanda bahasa halaman menentukan ketepatan pelafalan pembaca layar.,verified
3.1.1,mendengar,0.0,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/3-1-1,Penanda bahasa halaman menentukan ketepatan pelafalan pembaca layar.,verified
3.1.1,tangan,0.0,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/3-1-1,Penanda bahasa halaman menentukan ketepatan pelafalan pembaca layar.,verified
4.1.2,melihat,0.7,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/4-1-2,"Nama/peran/nilai elemen antarmuka menentukan keberhasilan pembaca layar maupun kontrol non-mouse (mis. voice control, switch).",verified
4.1.2,mendengar,0.0,Functional-needs mapping (WCAG 2.2 Understanding Documents),https://www.w3.org/WAI/WCAG22/Understanding/4-1-2,"Nama/peran/nilai elemen antarmuka menentukan keberhasilan pembaca layar maupun kontrol non-mouse (mis. voice control, switch).",verified
