website_id,category,issue_rank,wcag_sc,page_id,page_url
W01,melihat,1,1.4.3,P001,https://dinsos.acehprov.go.id/
W01,melihat,1,1.4.3,P002,https://dinsos.acehprov.go.id/halaman/visi-dan-misi
W01,melihat,1,1.4.3,P003,https://dinsos.acehprov.go.id/halaman/sarana-layanan-ppid
W01,melihat,1,1.4.3,P004,https://dinsos.acehprov.go.id/berita
W01,melihat,1,1.4.3,P005,https://dinsos.acehprov.go.id/halaman/formulir-permohonan-informasi-publik
W01,melihat,2,1.1.1,P001,https://dinsos.acehprov.go.id/
W01,melihat,2,1.1.1,P002,https://dinsos.acehprov.go.id/halaman/visi-dan-misi
W01,melihat,2,1.1.1,P003,https://dinsos.acehprov.go.id/halaman/sarana-layanan-ppid
W01,melihat,2,1.1.1,P004,https://dinsos.acehprov.go.id/berita
W01,melihat,2,1.1.1,P005,https://dinsos.acehprov.go.id/halaman/formulir-permohonan-informasi-publik
W01,melihat,3,2.4.4,P001,https://dinsos.acehprov.go.id/
W01,melihat,3,2.4.4,P002,https://dinsos.acehprov.go.id/halaman/visi-dan-misi
W01,melihat,3,2.4.4,P003,https://dinsos.acehprov.go.id/halaman/sarana-layanan-ppid
W01,melihat,3,2.4.4,P004,https://dinsos.acehprov.go.id/berita
W01,melihat,3,2.4.4,P005,https://dinsos.acehprov.go.id/halaman/formulir-permohonan-informasi-publik
W01,tangan,1,4.1.2,P001,https://dinsos.acehprov.go.id/
W01,tangan,1,4.1.2,P002,https://dinsos.acehprov.go.id/halaman/visi-dan-misi
W01,tangan,1,4.1.2,P003,https://dinsos.acehprov.go.id/halaman/sarana-layanan-ppid
W01,tangan,1,4.1.2,P004,https://dinsos.acehprov.go.id/berita
W01,tangan,1,4.1.2,P005,https://dinsos.acehprov.go.id/halaman/formulir-permohonan-informasi-publik
W01,tangan,2,2.4.4,P001,https://dinsos.acehprov.go.id/
W01,tangan,2,2.4.4,P002,https://dinsos.acehprov.go.id/halaman/visi-dan-misi
W01,tangan,2,2.4.4,P003,https://dinsos.acehprov.go.id/halaman/sarana-layanan-ppid
W01,tangan,2,2.4.4,P004,https://dinsos.acehprov.go.id/berita
W01,tangan,2,2.4.4,P005,https://dinsos.acehprov.go.id/halaman/formulir-permohonan-informasi-publik
W01,tangan,3,1.1.1,P001,https://dinsos.acehprov.go.id/
W01,tangan,3,1.1.1,P002,https://dinsos.acehprov.go.id/halaman/visi-dan-misi
W01,tangan,3,1.1.1,P003,https://dinsos.acehprov.go.id/halaman/sarana-layanan-ppid
W01,tangan,3,1.1.1,P004,https://dinsos.acehprov.go.id/berita
W01,tangan,3,1.1.1,P005,https://dinsos.acehprov.go.id/halaman/formulir-permohonan-informasi-publik
W02,melihat,1,4.1.2,P006,https://dinsos.sumutprov.go.id/
W02,melihat,1,4.1.2,P007,https://dinsos.sumutprov.go.id/pages/tugas-dan-fungsi
W02,melihat,1,4.1.2,P008,https://dinsos.sumutprov.go.id/pages/maklumat-pelayanan
W02,melihat,1,4.1.2,P009,https://dinsos.sumutprov.go.id/news
W02,melihat,1,4.1.2,P010,https://dinsos.sumutprov.go.id/pages/kontak
W02,melihat,2,1.4.3,P006,https://dinsos.sumutprov.go.id/
W02,melihat,2,1.4.3,P009,https://dinsos.sumutprov.go.id/news
W02,melihat,3,2.4.4,P006,https://dinsos.sumutprov.go.id/
W02,melihat,3,2.4.4,P007,https://dinsos.sumutprov.go.id/pages/tugas-dan-fungsi
W02,melihat,3,2.4.4,P008,https://dinsos.sumutprov.go.id/pages/maklumat-pelayanan
W02,melihat,3,2.4.4,P009,https://dinsos.sumutprov.go.id/news
W02,melihat,3,2.4.4,P010,https://dinsos.sumutprov.go.id/pages/kontak
W02,tangan,1,4.1.2,P006,https://dinsos.sumutprov.go.id/
W02,tangan,1,4.1.2,P007,https://dinsos.sumutprov.go.id/pages/tugas-dan-fungsi
W02,tangan,1,4.1.2,P008,https://dinsos.sumutprov.go.id/pages/maklumat-pelayanan
W02,tangan,1,4.1.2,P009,https://dinsos.sumutprov.go.id/news
W02,tangan,1,4.1.2,P010,https://dinsos.sumutprov.go.id/pages/kontak
W02,tangan,2,2.4.4,P006,https://dinsos.sumutprov.go.id/
W02,tangan,2,2.4.4,P007,https://dinsos.sumutprov.go.id/pages/tugas-dan-fungsi
W02,tangan,2,2.4.4,P008,https://dinsos.sumutprov.go.id/pages/maklumat-pelayanan
W02,tangan,2,2.4.4,P009,https://dinsos.sumutprov.go.id/news
W02,tangan,2,2.4.4,P010,https://dinsos.sumutprov.go.id/pages/kontak
W02,tangan,3,1.1.1,P008,https://dinsos.sumutprov.go.id/pages/maklumat-pelayanan
W03,melihat,1,1.4.3,P011,https://dinsos.sumbarprov.go.id/
W03,melihat,1,1.4.3,P014,https://dinsos.sumbarprov.go.id/berita
W03,melihat,1,1.4.3,P015,https://dinsos.sumbarprov.go.id/pengumuman/mekanisme-konsultasi-dan-pengaduan
W03,melihat,2,4.1.2,P011,https://dinsos.sumbarprov.go.id/
W03,melihat,2,4.1.2,P015,https://dinsos.sumbarprov.go.id/pengumuman/mekanisme-konsultasi-dan-pengaduan
W03,melihat,3,2.4.4,P015,https://dinsos.sumbarprov.go.id/pengumuman/mekanisme-konsultasi-dan-pengaduan
W03,tangan,1,4.1.2,P011,https://dinsos.sumbarprov.go.id/
W03,tangan,1,4.1.2,P015,https://dinsos.sumbarprov.go.id/pengumuman/mekanisme-konsultasi-dan-pengaduan
W03,tangan,2,2.4.4,P015,https://dinsos.sumbarprov.go.id/pengumuman/mekanisme-konsultasi-dan-pengaduan
W04,melihat,1,4.1.2,P016,https://dinsos.riau.go.id/
W04,melihat,1,4.1.2,P017,https://dinsos.riau.go.id/profil
W04,melihat,1,4.1.2,P018,https://dinsos.riau.go.id/berita/19
W04,melihat,1,4.1.2,P019,https://dinsos.riau.go.id/berita
W04,melihat,1,4.1.2,P020,https://dinsos.riau.go.id/ppid/daftar-informasi/pengaduan-monitoring-pkh
W04,melihat,2,2.4.4,P016,https://dinsos.riau.go.id/
W04,melihat,2,2.4.4,P017,https://dinsos.riau.go.id/profil
W04,melihat,2,2.4.4,P018,https://dinsos.riau.go.id/berita/19
W04,melihat,2,2.4.4,P019,https://dinsos.riau.go.id/berita
W04,melihat,2,2.4.4,P020,https://dinsos.riau.go.id/ppid/daftar-informasi/pengaduan-monitoring-pkh
W04,melihat,3,1.4.3,P016,https://dinsos.riau.go.id/
W04,melihat,3,1.4.3,P017,https://dinsos.riau.go.id/profil
