website_id,category,technical_score,technical_norm,demographic_score,demographic_norm,scenario,final_score,rank,baseline_a_rank,baseline_b_rank,baseline_c_rank,top_issue_1,top_issue_2,top_issue_3,stability_status
W01,melihat,52.364999999999995,1.0,0.0059,0.8095238095238093,S1,0.9428571428571427,1,1,1,3,1.4.3,1.1.1,2.4.4,Robust
W32,melihat,31.339999999999996,0.5938375350140056,0.0054,0.6904761904761905,S1,0.6228291316526611,2,2,2,5,1.4.3,1.1.1,4.1.2,Cukup stabil
W33,melihat,18.855,0.35265140538974216,0.0067,1.0,S1,0.5468559837728195,3,10,12,1,4.1.2,2.4.4,1.1.1,Robust
W18,melihat,22.009999999999998,0.4135999227277118,0.006,0.8333333333333333,S1,0.5395199459093982,4,6,8,2,4.1.2,2.4.4,1.1.1,Sensitif
W06,melihat,25.5125,0.48126147010528353,0.0043,0.4285714285714285,S1,0.46545445764512694,5,7,3,12,4.1.2,1.4.3,2.4.4,Sensitif
W34,melihat,22.044999999999998,0.4142760552496861,0.0048,0.5476190476190474,S1,0.4542789529604945,6,8,7,9,1.4.3,4.1.2,1.1.1,Sensitif
W11,melihat,24.169999999999998,0.4553269583695547,0.0038,0.3095238095238095,S1,0.41158601371583114,7,12,6,18,1.1.1,4.1.2,1.4.3,Sensitif
W13,melihat,25.06,0.47252004249975854,0.0035,0.23809523809523805,S1,0.40219260117840233,8,3,4,22,1.1.1,4.1.2,1.4.3,Sensitif
W08,melihat,25.044999999999998,0.4722302714189124,0.0035,0.23809523809523805,S1,0.40198976142181003,9,5,5,22,1.1.1,1.4.3,4.1.2,Sensitif
W27,melihat,18.65,0.3486912006181783,0.0047,0.5238095238095237,S1,0.40122669757558194,10,14,13,10,4.1.2,2.4.4,1.1.1,Sensitif
W21,melihat,19.740000000000002,0.36974789915966394,0.0043,0.4285714285714285,S1,0.38739495798319323,11,10,10,12,1.4.3,2.4.4,4.1.2,Sensitif
W19,melihat,12.445,0.22882256350816194,0.0056,0.7380952380952379,S1,0.3816043658842847,12,18,19,4,4.1.2,1.4.3,2.4.4,Sensitif
W20,melihat,12.3,0.22602144305998267,0.0049,0.5714285714285713,S1,0.32964358157055923,13,22,20,8,1.4.3,4.1.2,1.1.1,Sensitif
W23,melihat,15.255,0.2831063459866706,0.0041,0.380952380952381,S1,0.3124601564763837,14,13,14,17,1.4.3,2.4.4,4.1.2,Sensitif
W09,melihat,20.11,0.3768955858205351,0.0031,0.1428571428571428,S1,0.3066840529315174,15,4,9,27,2.4.4,4.1.2,1.1.1,Sensitif
W31,melihat,13.709999999999999,0.253259924659519,0.0043,0.4285714285714285,S1,0.3058533758330918,16,20,16,12,4.1.2,1.4.3,1.1.1,Sensitif
