website_id,category,scenario,technical_score,technical_norm,demographic_score,demographic_norm,final_score,rank,baseline_a_rank,baseline_b_rank,baseline_c_rank,stability_status,top_issue_1,top_issue_2,top_issue_3
W17,melihat,S1,1.600128760929173,1.0,0.003399922992,0.2142629917577878,0.764278897527,1,19,2,19,,SC 1.4.3,SC 1.3.1,SC 4.1.2
W01,melihat,S1,1.3044765870161297,0.729317993694255,0.005900072117,0.8095244042621984,0.753379916865,2,2,3,5,,SC 1.4.3,SC 1.1.1,SC 4.1.2
W20,melihat,S1,1.2436070217987385,0.67358934533719,0.004900025264,0.5714228861028083,0.642939407567,3,18,10,14,,SC 1.4.3,SC 1.3.1,SC 1.1.1
W31,melihat,S1,1.286909202484097,0.7132343139169715,0.004299835255,0.428523429044072,0.627821048455,4,12,4,25,,SC 1.3.1,SC 4.1.2,SC 1.4.3
W19,melihat,S1,1.088724182844384,0.5317875887811064,0.005599948777,0.738067929323352,0.593671690944,5,23,5,3,,SC 4.1.2,SC 2.4.4,SC 1.4.3
W29,melihat,S1,0.9646390877914196,0.4181824627404836,0.005400352142,0.6905458940602645,0.499891492136,6,26,6,6,,SC 1.4.3,SC 4.1.2,SC 2.4.4
W13,melihat,S1,1.1624476015088834,0.5992844808611032,0.003499989199,0.2380877912976066,0.490925473992,7,1,1,13,,SC 1.3.1,SC 4.1.2,SC 1.1.1
W32,melihat,S1,0.8849181419396025,0.3451945821436433,0.005399833245,0.6904223496852206,0.448762912406,8,4,22,11,,SC 1.4.3,SC 1.1.1,SC 1.3.1
W11,melihat,S1,0.9332860140782996,0.3894774044140215,0.0038,0.3095174717851015,0.365489424625,9,11,27,15,,SC 1.1.1,SC 4.1.2,SC 1.3.1
W16,melihat,S1,1.0742314292211954,0.5185188629818052,0.0025,0.0,0.362963204087,10,28,23,30,,SC 1.3.1,SC 1.4.4,SC 3.1.1
W34,melihat,S1,0.8066572723743852,0.2735434628274167,0.004800135215,0.5476400280851391,0.355772432405,11,13,8,12,,SC 1.4.3,SC 1.1.1,SC 4.1.2
W09,melihat,S1,0.982737456581347,0.434752280949768,0.00309982604,0.1428127995474377,0.347170436529,12,5,11,24,,SC 4.1.2,SC 2.4.4,SC 1.3.1
W18,melihat,S1,0.6550251445130822,0.1347178690674381,0.005999963462,0.833307570844978,0.344294779601,13,6,17,4,,SC 4.1.2,SC 2.4.4,SC 1.3.1
W08,melihat,S1,0.9271353804079736,0.3838462404692397,0.003499989103,0.2380877684409318,0.340118698861,14,3,7,22,,SC 1.3.1,SC 1.1.1,SC 1.4.3
W33,melihat,S1,0.5457877071569939,0.0347063984399946,0.006700086,1.0,0.324294478908,15,15,13,1,,SC 4.1.2,SC 2.4.4,SC 1.1.1
W25,melihat,S1,0.8512191036083008,0.3143416944906885,0.003599924798,0.2618814943313065,0.298603634443,16,8,9,16,,SC 1.3.1,SC 1.4.3,SC 4.1.2
W24,melihat,S1,0.6104633132791664,0.0939196374041659,0.00539983512,0.6904227961046511,0.272870585014,17,29,29,8,,SC 1.3.1,SC 3.1.1,No dominant issue
W14,melihat,S1,0.7318489114928984,0.2050532604932349,0.00429995481,0.4285518939374098,0.272102850526,18,27,25,2,,SC 1.3.1,SC 4.1.2,SC 1.4.3
W23,melihat,S1,0.7419816662522126,0.2143302238632453,0.004099953365,0.380933477314512,0.264311199899,19,20,12,10,,SC 1.4.3,SC 4.1.2,SC 2.4.4
W21,melihat,S1,0.6974198350182967,0.1735319921999732,0.004300098501,0.4285861053797469,0.250048226154,20,10,14,21,,SC 1.4.3,SC 4.1.2,SC 2.4.4
W06,melihat,S1,0.6974198350182967,0.1735319921999732,0.004299988449,0.4285599030591277,0.250040365458,21,14,19,17,,SC 4.1.2,SC 1.4.3,SC 2.4.4
W04,melihat,S1,0.6974198350182967,0.1735319921999732,0.004199927431,0.4047363389702019,0.242893296231,22,22,14,20,,SC 4.1.2,SC 2.4.4,SC 1.4.3
W10,melihat,S1,0.8066572723743852,0.2735434628274167,0.003099825672,0.1428127119301842,0.234324237558,23,7,26,29,,SC 1.3.1,SC 1.4.3,SC 4.1.2
W22,melihat,S1,0.6974198350182967,0.1735319921999732,0.003700054996,0.2857215295115385,0.207188853393,24,16,14,23,,SC 1.4.3,SC 1.3.1,SC 4.1.2
W15,melihat,S1,0.6974198350182967,0.1735319921999732,0.0035,0.2380903629116165,0.192899503413,25,29,23,18,,SC 1.3.1,SC 2.2.1,SC 1.4.3
W03,melihat,S1,0.5235067915400359,0.0143072826083585,0.004700031911,0.5238063961071272,0.167157016658,26,25,28,9,,SC 1.3.1,SC 1.4.3,SC 4.1.2
W12,melihat,S1,0.6974198350182967,0.1735319921999732,0.003100000405,0.1428543141735669,0.164328688792,27,21,29,27,,SC 1.3.1,SC 1.4.3,No dominant issue
W27,melihat,S1,0.5078796751916681,0.0,0.004699971818,0.5237920885429488,0.157137626563,28,17,21,7,,SC 4.1.2,SC 2.4.4,SC 1.3.1
W05,melihat,S1,0.6327442288961241,0.1143187532358018,0.003200132191,0.1666947274412952,0.130031545497,29,9,18,28,,SC 4.1.2,SC 2.4.4,SC 1.3.1
W02,melihat,S1,0.5457877071569939,0.0347063984399946,0.003800015878,0.3095212521838837,0.117150854563,30,24,20,26,,SC 1.4.3,SC 4.1.2,SC 2.4.4
W01,melihat,S2,1.3044765870161297,0.729317993694255,0.005900072117,0.8095244042621984,0.769421198978,1,2,3,5,,SC 1.4.3,SC 1.1.1,SC 4.1.2
W19,melihat,S2,1.088724182844384,0.5317875887811064,0.005599948777,0.738067929323352,0.634927759052,2,23,5,3,,SC 4.1.2,SC 2.4.4,SC 1.4.3
W20,melihat,S2,1.2436070217987385,0.67358934533719,0.004900025264,0.5714228861028083,0.62250611572,3,18,10,14,,SC 1.4.3,SC 1.3.1,SC 1.1.1
W17,melihat,S2,1.600128760929173,1.0,0.003399922992,0.2142629917577878,0.607131495879,4,19,2,19,,SC 1.4.3,SC 1.3.1,SC 4.1.2
W31,melihat,S2,1.286909202484097,0.7132343139169715,0.004299835255,0.428523429044072,0.570878871481,5,12,4,25,,SC 1.3.1,SC 4.1.2,SC 1.4.3
W29,melihat,S2,0.9646390877914196,0.4181824627404836,0.005400352142,0.6905458940602645,0.5543641784,6,26,6,6,,SC 1.4.3,SC 4.1.2,SC 2.4.4
W32,melihat,S2,0.8849181419396025,0.3451945821436433,0.005399833245,0.6904223496852206,0.517808465914,7,4,22,11,,SC 1.4.3,SC 1.1.1,SC 1.3.1
W33,melihat,S2,0.5457877071569939,0.0347063984399946,0.006700086,1.0,0.51735319922,8,15,13,1,,SC 4.1.2,SC 2.4.4,SC 1.1.1
W18,melihat,S2,0.6550251445130822,0.1347178690674381,0.005999963462,0.833307570844978,0.484012719956,9,6,17,4,,SC 4.1.2,SC 2.4.4,SC 1.3.1
W13,melihat,S2,1.1624476015088834,0.5992844808611032,0.003499989199,0.2380877912976066,0.418686136079,10,1,1,13,,SC 1.3.1,SC 4.1.2,SC 1.1.1
W34,melihat,S2,0.8066572723743852,0.2735434628274167,0.004800135215,0.5476400280851391,0.410591745456,11,13,8,12,,SC 1.4.3,SC 1.1.1,SC 4.1.2
W24,melihat,S2,0.6104633132791664,0.0939196374041659,0.00539983512,0.6904227961046511,0.392171216754,12,29,29,8,,SC 1.3.1,SC 3.1.1,No dominant issue
W11,melihat,S2,0.9332860140782996,0.3894774044140215,0.0038,0.3095174717851015,0.3494974381,13,11,27,15,,SC 1.1.1,SC 4.1.2,SC 1.3.1
W14,melihat,S2,0.7318489114928984,0.2050532604932349,0.00429995481,0.4285518939374098,0.316802577215,14,27,25,2,,SC 1.3.1,SC 4.1.2,SC 1.4.3
W08,melihat,S2,0.9271353804079736,0.3838462404692397,0.003499989103,0.2380877684409318,0.310967004455,15,3,7,22,,SC 1.3.1,SC 1.1.1,SC 1.4.3
W21,melihat,S2,0.6974198350182967,0.1735319921999732,0.004300098501,0.4285861053797469,0.30105904879,16,10,14,21,,SC 1.4.3,SC 4.1.2,SC 2.4.4
W06,melihat,S2,0.6974198350182967,0.1735319921999732,0.004299988449,0.4285599030591277,0.30104594763,17,14,19,17,,SC 4.1.2,SC 1.4.3,SC 2.4.4
W23,melihat,S2,0.7419816662522126,0.2143302238632453,0.004099953365,0.380933477314512,0.297631850589,18,20,12,10,,SC 1.4.3,SC 4.1.2,SC 2.4.4
W04,melihat,S2,0.6974198350182967,0.1735319921999732,0.004199927431,0.4047363389702019,0.289134165585,19,22,14,20,,SC 4.1.2,SC 2.4.4,SC 1.4.3
W09,melihat,S2,0.982737456581347,0.434752280949768,0.00309982604,0.1428127995474377,0.288782540249,20,5,11,24,,SC 4.1.2,SC 2.4.4,SC 1.3.1
W25,melihat,S2,0.8512191036083008,0.3143416944906885,0.003599924798,0.2618814943313065,0.288111594411,21,8,9,16,,SC 1.3.1,SC 1.4.3,SC 4.1.2
W03,melihat,S2,0.5235067915400359,0.0143072826083585,0.004700031911,0.5238063961071272,0.269056839358,22,25,28,9,,SC 1.3.1,SC 1.4.3,SC 4.1.2
W27,melihat,S2,0.5078796751916681,0.0,0.004699971818,0.5237920885429488,0.261896044271,23,17,21,7,,SC 4.1.2,SC 2.4.4,SC 1.3.1
