finding_id,page_id,website_id,rule_id,wcag_sc,wcag_level,impact_label,affected_node_count,selector,finding_signature,validation_status
F000001,P001,W01,color-contrast,1.4.3,AA,serious,16,"cms\:widgets[name=""widget_home_kiri_atas""] > cms\:render > .cms-berita-col.mb-3 > .cms-berita-element.cms-berita-list.news-list-arrow > ul > .widget-berita-terkini-li-big > .widget-berita-terkini-tanggal",53fb0c2c9ed6239a,auto-detected
F000002,P001,W01,color-contrast,1.4.3,AA,serious,16,"cms\:widgets[name=""widget_home_kiri_atas""] > cms\:render > .cms-berita-col.mb-3 > .cms-berita-element.cms-berita-list.news-list-arrow > ul > .widget-berita-terkini-li:nth-child(2) > .widget-berita-terkini-has-thumb > .widget-berita-terkini-tanggal",74547ca450c0b30c,auto-detected
F000003,P001,W01,color-contrast,1.4.3,AA,serious,16,"cms\:widgets[name=""widget_home_kiri_atas""] > cms\:render > .cms-berita-col.mb-3 > .cms-berita-element.cms-berita-list.news-list-arrow > ul > .widget-berita-terkini-li:nth-child(3) > .widget-berita-terkini-has-thumb > .widget-berita-terkini-tanggal",7c7963121775268c,auto-detected
F000004,P001,W01,color-contrast,1.4.3,AA,serious,16,"cms\:widgets[name=""widget_home_kiri_atas""] > cms\:render > .cms-berita-col.mb-3 > .cms-berita-element.cms-berita-list.news-list-arrow > ul > .widget-berita-terkini-li:nth-child(4) > .widget-berita-terkini-has-thumb > .widget-berita-terkini-tanggal",65fb7742bb30594a,auto-detected
F000005,P001,W01,color-contrast,1.4.3,AA,serious,16,"cms\:widgets[name=""widget_home_kanan_atas""] > cms\:render > .cms-berita-col.mb-3 > .cms-berita-element.cms-berita-list.news-list-arrow > ul > .widget-berita-terkini-li-big > .widget-berita-terkini-tanggal",89fa035770fe9688,auto-detected
F000006,P001,W01,color-contrast,1.4.3,AA,serious,16,"cms\:widgets[name=""widget_home_kanan_atas""] > cms\:render > .cms-berita-col.mb-3 > .cms-berita-element.cms-berita-list.news-list-arrow > ul > .widget-berita-terkini-li:nth-child(2) > .widget-berita-terkini-has-thumb > .widget-berita-terkini-tanggal",01beeec31353eace,auto-detected
F000007,P001,W01,color-contrast,1.4.3,AA,serious,16,"cms\:widgets[name=""widget_home_kanan_atas""] > cms\:render > .cms-berita-col.mb-3 > .cms-berita-element.cms-berita-list.news-list-arrow > ul > .widget-berita-terkini-li:nth-child(3) > .widget-berita-terkini-has-thumb > .widget-berita-terkini-tanggal",c185c05e917ae8e9,auto-detected
F000008,P001,W01,color-contrast,1.4.3,AA,serious,16,"cms\:widgets[name=""widget_home_kanan_atas""] > cms\:render > .cms-berita-col.mb-3 > .cms-berita-element.cms-berita-list.news-list-arrow > ul > .widget-berita-terkini-li:nth-child(4) > .widget-berita-terkini-has-thumb > .widget-berita-terkini-tanggal",714c97584c780a9d,auto-detected
F000009,P001,W01,color-contrast,1.4.3,AA,serious,16,"cms\:widgets[name=""widget_home_kiri_bawah""] > cms\:render > .cms-berita-col.mb-3 > .cms-berita-element.cms-berita-list.news-list-arrow > ul > .widget-berita-terkini-li-big > .widget-berita-terkini-tanggal",e73a7547e06c661a,auto-detected
F000010,P001,W01,color-contrast,1.4.3,AA,serious,16,"cms\:widgets[name=""widget_home_kiri_bawah""] > cms\:render > .cms-berita-col.mb-3 > .cms-berita-element.cms-berita-list.news-list-arrow > ul > .widget-berita-terkini-li:nth-child(2) > .widget-berita-terkini-has-thumb > .widget-berita-terkini-tanggal",d7250982f00ba257,auto-detected
F000011,P001,W01,color-contrast,1.4.3,AA,serious,16,"cms\:widgets[name=""widget_home_kiri_bawah""] > cms\:render > .cms-berita-col.mb-3 > .cms-berita-element.cms-berita-list.news-list-arrow > ul > .widget-berita-terkini-li:nth-child(3) > .widget-berita-terkini-has-thumb > .widget-berita-terkini-tanggal",4221099c99e2134d,auto-detected
F000012,P001,W01,color-contrast,1.4.3,AA,serious,16,"cms\:widgets[name=""widget_home_kiri_bawah""] > cms\:render > .cms-berita-col.mb-3 > .cms-berita-element.cms-berita-list.news-list-arrow > ul > .widget-berita-terkini-li:nth-child(4) > .widget-berita-terkini-has-thumb > .widget-berita-terkini-tanggal",fa90dc4d28835c8c,auto-detected
F000013,P001,W01,color-contrast,1.4.3,AA,serious,16,"cms\:widgets[name=""widget_home_kanan_bawah""] > cms\:render > .cms-berita-col.mb-3 > .cms-berita-element.cms-berita-list.news-list-arrow > ul > .widget-berita-terkini-li-big > .widget-berita-terkini-tanggal",7f1d8f8ff73147d1,auto-detected
