bps_region_code,province_name,category,data_year,population_count,denominator_population,prevalence,source
94,Papua,melihat,2022,29605,4418600,0.0067,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
52,Nusa Tenggara Barat,melihat,2022,32842,5473700,0.006,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
11,Aceh,melihat,2022,31907,5407900,0.0059,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
53,Nusa Tenggara Timur,melihat,2022,30611,5466300,0.0056,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
82,Maluku Utara,melihat,2022,7124,1319300,0.0054,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
75,Gorontalo,melihat,2022,6441,1192700,0.0054,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
65,Kalimantan Utara,melihat,2022,3930,727800,0.0054,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
72,Sulawesi Tengah,melihat,2022,15637,3066100,0.0051,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
74,Sulawesi Tenggara,melihat,2022,13508,2701700,0.005,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
61,Kalimantan Barat,melihat,2022,27153,5541400,0.0049,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
91,Papua Barat,melihat,2022,5680,1183300,0.0048,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
73,Sulawesi Selatan,melihat,2022,43361,9225800,0.0047,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
13,Sumatera Barat,melihat,2022,26511,5640600,0.0047,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
17,Bengkulu,melihat,2022,9270,2060100,0.0045,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
81,Maluku,melihat,2022,8091,1881700,0.0043,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
62,Kalimantan Tengah,melihat,2022,11787,2741100,0.0043,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
34,DI Yogyakarta,melihat,2022,16176,3761900,0.0043,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
16,Sumatera Selatan,melihat,2022,37225,8657000,0.0043,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
14,Riau,melihat,2022,27780,6614400,0.0042,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
64,Kalimantan Timur,melihat,2022,15825,3859800,0.0041,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
76,Sulawesi Barat,melihat,2022,5689,1458600,0.0039,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
31,DKI Jakarta,melihat,2022,40584,10680000,0.0038,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
12,Sumatera Utara,melihat,2022,57438,15115200,0.0038,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
63,Kalimantan Selatan,melihat,2022,15474,4182100,0.0037,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
71,Sulawesi Utara,melihat,2022,9574,2659500,0.0036,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
35,Jawa Timur,melihat,2022,144025,41150000,0.0035,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
33,Jawa Tengah,melihat,2022,129613,37032400,0.0035,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
18,Lampung,melihat,2022,32118,9176600,0.0035,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
51,Bali,melihat,2022,15011,4415100,0.0034,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
15,Jambi,melihat,2022,11620,3631100,0.0032,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
32,Jawa Barat,melihat,2022,153158,49405800,0.0031,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
21,Kepulauan Riau,melihat,2022,6757,2179800,0.0031,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
19,Kepulauan Bangka Belitung,melihat,2022,4633,1494600,0.0031,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
36,Banten,melihat,2022,30630,12252000,0.0025,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
94,Papua,mendengar,2022,27837,4418600,0.0063,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
34,DI Yogyakarta,mendengar,2022,19938,3761900,0.0053,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
53,Nusa Tenggara Timur,mendengar,2022,27878,5466300,0.0051,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
73,Sulawesi Selatan,mendengar,2022,44284,9225800,0.0048,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
65,Kalimantan Utara,mendengar,2022,3421,727800,0.0047,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
76,Sulawesi Barat,mendengar,2022,6710,1458600,0.0046,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
75,Gorontalo,mendengar,2022,5486,1192700,0.0046,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
52,Nusa Tenggara Barat,mendengar,2022,24084,5473700,0.0044,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
13,Sumatera Barat,mendengar,2022,24255,5640600,0.0043,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
71,Sulawesi Utara,mendengar,2022,10904,2659500,0.0041,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
33,Jawa Tengah,mendengar,2022,151833,37032400,0.0041,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
72,Sulawesi Tengah,mendengar,2022,12264,3066100,0.004,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
51,Bali,mendengar,2022,17219,4415100,0.0039,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
91,Papua Barat,mendengar,2022,4497,1183300,0.0038,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
82,Maluku Utara,mendengar,2022,5013,1319300,0.0038,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
74,Sulawesi Tenggara,mendengar,2022,9996,2701700,0.0037,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
64,Kalimantan Timur,mendengar,2022,14281,3859800,0.0037,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
61,Kalimantan Barat,mendengar,2022,20503,5541400,0.0037,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
35,Jawa Timur,mendengar,2022,152255,41150000,0.0037,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
31,DKI Jakarta,mendengar,2022,39516,10680000,0.0037,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
16,Sumatera Selatan,mendengar,2022,32031,8657000,0.0037,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
11,Aceh,mendengar,2022,20009,5407900,0.0037,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
18,Lampung,mendengar,2022,33036,9176600,0.0036,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
17,Bengkulu,mendengar,2022,7416,2060100,0.0036,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
19,Kepulauan Bangka Belitung,mendengar,2022,5231,1494600,0.0035,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
81,Maluku,mendengar,2022,6021,1881700,0.0032,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
62,Kalimantan Tengah,mendengar,2022,8772,2741100,0.0032,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
14,Riau,mendengar,2022,20505,6614400,0.0031,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
63,Kalimantan Selatan,mendengar,2022,12546,4182100,0.003,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
15,Jambi,mendengar,2022,10893,3631100,0.003,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
12,Sumatera Utara,mendengar,2022,45346,15115200,0.003,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
32,Jawa Barat,mendengar,2022,143277,49405800,0.0029,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
36,Banten,mendengar,2022,30630,12252000,0.0025,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
21,Kepulauan Riau,mendengar,2022,4578,2179800,0.0021,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
94,Papua,tangan,2022,20326,4418600,0.0046,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
34,DI Yogyakarta,tangan,2022,16552,3761900,0.0044,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
64,Kalimantan Timur,tangan,2022,14667,3859800,0.0038,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
31,DKI Jakarta,tangan,2022,38448,10680000,0.0036,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
33,Jawa Tengah,tangan,2022,133317,37032400,0.0036,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
11,Aceh,tangan,2022,17846,5407900,0.0033,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
35,Jawa Timur,tangan,2022,135795,41150000,0.0033,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
73,Sulawesi Selatan,tangan,2022,30445,9225800,0.0033,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
51,Bali,tangan,2022,13687,4415100,0.0031,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
52,Nusa Tenggara Barat,tangan,2022,16421,5473700,0.003,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
53,Nusa Tenggara Timur,tangan,2022,16399,5466300,0.003,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
71,Sulawesi Utara,tangan,2022,7978,2659500,0.003,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
19,Kepulauan Bangka Belitung,tangan,2022,4334,1494600,0.0029,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
14,Riau,tangan,2022,19182,6614400,0.0029,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
13,Sumatera Barat,tangan,2022,16358,5640600,0.0029,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
75,Gorontalo,tangan,2022,3340,1192700,0.0028,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
63,Kalimantan Selatan,tangan,2022,11710,4182100,0.0028,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
18,Lampung,tangan,2022,25694,9176600,0.0028,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
72,Sulawesi Tengah,tangan,2022,8585,3066100,0.0028,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
91,Papua Barat,tangan,2022,3195,1183300,0.0027,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
32,Jawa Barat,tangan,2022,128455,49405800,0.0026,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
62,Kalimantan Tengah,tangan,2022,7127,2741100,0.0026,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
16,Sumatera Selatan,tangan,2022,22508,8657000,0.0026,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
61,Kalimantan Barat,tangan,2022,13854,5541400,0.0025,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
74,Sulawesi Tenggara,tangan,2022,6754,2701700,0.0025,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
12,Sumatera Utara,tangan,2022,37788,15115200,0.0025,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
82,Maluku Utara,tangan,2022,3166,1319300,0.0024,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
76,Sulawesi Barat,tangan,2022,3501,1458600,0.0024,"BPS - Potret Penyandang Disabilitas di Indonesia: Hasil Long Form SP2020 (2024), Disabilitas Tipe 3"
