page_id,website_id,page_url,page_type,selection_reason,http_status,render_status,tested_at
P001,W01,https://dinsos.acehprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,rendered,2026-08-02T06:20:49.517723+00:00
P002,W01,https://dinsos.acehprov.go.id/halaman/visi-dan-misi,Profil,"Auto-dipilih (link: ""VISI-MISI"", keyword: visi) - REVIEW",,rendered,2026-08-02T06:21:01.588494+00:00
P003,W01,https://dinsos.acehprov.go.id/halaman/sarana-layanan-ppid,Layanan,"Auto-dipilih (link: ""SARANA LAYANAN PPID"", keyword: layanan) - REVIEW",,rendered,2026-08-02T06:21:05.287005+00:00
P004,W01,https://dinsos.acehprov.go.id/berita,Konten,"Auto-dipilih (link: ""BERITA"", keyword: berita) - REVIEW",,rendered,2026-08-02T06:21:08.470007+00:00
P005,W01,https://dinsos.acehprov.go.id/halaman/formulir-permohonan-informasi-publik,Interaksi/Kontak,"Auto-dipilih (link: ""FORMULIR PERMOHONAN INFORMASI PUBLIK"", keyword: formulir) - REVIEW",,rendered,2026-08-02T06:21:11.641934+00:00
P006,W02,https://dinsos.sumutprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,rendered,2026-08-02T06:21:21.744126+00:00
P007,W02,https://dinsos.sumutprov.go.id/pages/tugas-dan-fungsi,Profil,"Auto-dipilih (link: ""Tugas dan Fungsi"", keyword: tugas dan fungsi) - REVIEW",,rendered,2026-08-02T06:21:34.849323+00:00
P008,W02,https://dinsos.sumutprov.go.id/pages/maklumat-pelayanan,Layanan,"Auto-dipilih (link: ""Maklumat Pelayanan"", keyword: layanan) - REVIEW",,rendered,2026-08-02T06:21:39.647097+00:00
P009,W02,https://dinsos.sumutprov.go.id/news,Konten,"Auto-dipilih (link: ""Berita"", keyword: berita) - REVIEW",,rendered,2026-08-02T06:21:44.016506+00:00
P010,W02,https://dinsos.sumutprov.go.id/pages/kontak,Interaksi/Kontak,"Auto-dipilih (link: ""Kontak"", keyword: kontak) - REVIEW",,rendered,2026-08-02T06:21:47.897104+00:00
P011,W03,https://dinsos.sumbarprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,rendered,2026-08-02T06:21:51.805001+00:00
P012,W03,https://dinsos.sumbarprov.go.id/profil,Profil,"Auto-dipilih (link: ""Profil"", keyword: profil) - REVIEW",,rendered,2026-08-02T06:22:05.737232+00:00
P013,W03,https://dinsos.sumbarprov.go.id/permohonanInformasi,Layanan,"Auto-dipilih (link: ""Permohonan Informasi"", keyword: permohonan) - REVIEW",,rendered,2026-08-02T06:22:14.379320+00:00
P014,W03,https://dinsos.sumbarprov.go.id/berita,Konten,"Auto-dipilih (link: ""Berita"", keyword: berita) - REVIEW",,rendered,2026-08-02T06:22:18.099992+00:00
P015,W03,https://dinsos.sumbarprov.go.id/pengumuman/mekanisme-konsultasi-dan-pengaduan,Interaksi/Kontak,"Auto-dipilih (link: ""Baca Selengkapnya"", keyword: pengaduan) - REVIEW",,rendered,2026-08-02T06:22:22.821978+00:00
P016,W04,https://dinsos.riau.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,rendered,2026-08-02T06:22:28.348270+00:00
P017,W04,https://dinsos.riau.go.id/profil,Profil,"Auto-dipilih (link: ""Profil"", keyword: profil) - REVIEW",,rendered,2026-08-02T06:22:42.707646+00:00
P018,W04,https://dinsos.riau.go.id/berita/19,Layanan,"Auto-dipilih (link: ""Maklumat Layanan Informasi"", keyword: layanan) - REVIEW",,rendered,2026-08-02T06:22:49.371934+00:00
