page_id,website_id,page_url,page_type,selection_reason,http_status,render_status,tested_at
P001,W01,https://dinsos.acehprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P002,W01,https://dinsos.acehprov.go.id/halaman/visi-dan-misi,Profil,"Auto-dipilih (link: ""VISI-MISI"", keyword: visi) - REVIEW",,,
P003,W01,https://dinsos.acehprov.go.id/halaman/sarana-layanan-ppid,Layanan,"Auto-dipilih (link: ""SARANA LAYANAN PPID"", keyword: layanan) - REVIEW",,,
P004,W01,https://dinsos.acehprov.go.id/berita,Konten,"Auto-dipilih (link: ""BERITA"", keyword: berita) - REVIEW",,,
P005,W01,https://dinsos.acehprov.go.id/halaman/formulir-permohonan-informasi-publik,Interaksi/Kontak,"Auto-dipilih (link: ""FORMULIR PERMOHONAN INFORMASI PUBLIK"", keyword: formulir) - REVIEW",,,
P006,W02,https://dinsos.sumutprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P007,W02,https://dinsos.sumutprov.go.id/pages/tugas-dan-fungsi,Profil,"Auto-dipilih (link: ""Tugas dan Fungsi"", keyword: tugas dan fungsi) - REVIEW",,,
P008,W02,https://dinsos.sumutprov.go.id/pages/maklumat-pelayanan,Layanan,"Auto-dipilih (link: ""Maklumat Pelayanan"", keyword: layanan) - REVIEW",,,
P009,W02,https://dinsos.sumutprov.go.id/news,Konten,"Auto-dipilih (link: ""Berita"", keyword: berita) - REVIEW",,,
P010,W02,https://dinsos.sumutprov.go.id/pages/kontak,Interaksi/Kontak,"Auto-dipilih (link: ""Kontak"", keyword: kontak) - REVIEW",,,
P011,W03,https://dinsos.sumbarprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P012,W03,https://dinsos.sumbarprov.go.id/profil,Profil,"Auto-dipilih (link: ""Profil"", keyword: profil) - REVIEW",,,
P013,W03,https://dinsos.sumbarprov.go.id/permohonanInformasi,Layanan,"Auto-dipilih (link: ""Permohonan Informasi"", keyword: permohonan) - REVIEW",,,
P014,W03,https://dinsos.sumbarprov.go.id/berita,Konten,"Auto-dipilih (link: ""Berita"", keyword: berita) - REVIEW",,,
P015,W03,https://dinsos.sumbarprov.go.id/pengumuman/mekanisme-konsultasi-dan-pengaduan,Interaksi/Kontak,"Auto-dipilih (link: ""Baca Selengkapnya"", keyword: pengaduan) - REVIEW",,,
P016,W04,https://dinsos.riau.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P017,W04,https://dinsos.riau.go.id/profil,Profil,"Auto-dipilih (link: ""Profil"", keyword: profil) - REVIEW",,,
P018,W04,https://dinsos.riau.go.id/berita/19,Layanan,"Auto-dipilih (link: ""Maklumat Layanan Informasi"", keyword: layanan) - REVIEW",,,
P019,W04,https://dinsos.riau.go.id/berita,Konten,"Auto-dipilih (link: ""Berita"", keyword: berita) - REVIEW",,,
