website_id,institution_name,domain,province_name,bps_region_code,status_domain,audit_date,crawl_status,total_pages_audited
W01,Dinas Sosial Provinsi Aceh,https://dinsos.acehprov.go.id,Aceh,11,pola,,,
W02,Dinas Sosial Provinsi Sumatera Utara,https://dinsos.sumutprov.go.id,Sumatera Utara,12,pola,,,
W03,Dinas Sosial Provinsi Sumatera Barat,https://dinsos.sumbarprov.go.id,Sumatera Barat,13,confirmed,,,
W04,Dinas Sosial Provinsi Riau,https://dinsos.riauprov.go.id,Riau,14,pola,,,
W05,Dinas Sosial Provinsi Jambi,https://dinsos.jambiprov.go.id,Jambi,15,pola,,,
W06,Dinas Sosial Provinsi Sumatera Selatan,https://dinsos.sumselprov.go.id,Sumatera Selatan,16,pola,,,
W07,Dinas Sosial Provinsi Bengkulu,https://dinsos.bengkuluprov.go.id,Bengkulu,17,pola,,,
W08,Dinas Sosial Provinsi Lampung,https://dinsos.lampungprov.go.id,Lampung,18,pola,,,
W09,Dinas Sosial Provinsi Kepulauan Bangka Belitung,https://dinsos.babelprov.go.id,Kepulauan Bangka Belitung,19,pola,,,
W10,Dinas Sosial Provinsi Kepulauan Riau,https://dinsos.kepriprov.go.id,Kepulauan Riau,21,confirmed,,,
W11,Dinas Sosial Provinsi DKI Jakarta,https://dinsos.jakarta.go.id,DKI Jakarta,31,confirmed,,,
W12,Dinas Sosial Provinsi Jawa Barat,https://dinsos.jabarprov.go.id,Jawa Barat,32,confirmed,,,
W13,Dinas Sosial Provinsi Jawa Tengah,https://dinsos.jatengprov.go.id,Jawa Tengah,33,confirmed,,,
W14,Dinas Sosial DI Yogyakarta,https://dinsos.jogjaprov.go.id,DI Yogyakarta,34,confirmed,,,
W15,Dinas Sosial Provinsi Jawa Timur,https://dinsos.jatimprov.go.id,Jawa Timur,35,confirmed,,,
W16,Dinas Sosial Provinsi Banten,https://dinsos.bantenprov.go.id,Banten,36,pola,,,
W17,Dinas Sosial Provinsi Bali,https://dinsos.baliprov.go.id,Bali,51,pola,,,
W18,Dinas Sosial Provinsi Nusa Tenggara Barat,https://dinsos.ntbprov.go.id,Nusa Tenggara Barat,52,pola,,,
W19,Dinas Sosial Provinsi Nusa Tenggara Timur,https://dinsos.nttprov.go.id,Nusa Tenggara Timur,53,pola,,,
W20,Dinas Sosial Provinsi Kalimantan Barat,https://dinsos.kalbarprov.go.id,Kalimantan Barat,61,pola,,,
W21,Dinas Sosial Provinsi Kalimantan Tengah,https://dinsos.kaltengprov.go.id,Kalimantan Tengah,62,pola,,,
W22,Dinas Sosial Provinsi Kalimantan Selatan,https://dinsos.kalselprov.go.id,Kalimantan Selatan,63,pola,,,
W23,Dinas Sosial Provinsi Kalimantan Timur,https://dinsos.kaltimprov.go.id,Kalimantan Timur,64,pola,,,
W24,Dinas Sosial Provinsi Kalimantan Utara,https://dinsos.kaltaraprov.go.id,Kalimantan Utara,65,pola,,,
W25,Dinas Sosial Provinsi Sulawesi Utara,https://dinsos.sulutprov.go.id,Sulawesi Utara,71,pola,,,
W26,Dinas Sosial Provinsi Sulawesi Tengah,https://dinsos.sultengprov.go.id,Sulawesi Tengah,72,confirmed,,,
W27,Dinas Sosial Provinsi Sulawesi Selatan,https://dinsos.sulselprov.go.id,Sulawesi Selatan,73,pola,,,
W28,Dinas Sosial Provinsi Sulawesi Tenggara,https://dinsos.sultraprov.go.id,Sulawesi Tenggara,74,pola,,,
W29,Dinas Sosial Provinsi Gorontalo,https://dinsos.gorontaloprov.go.id,Gorontalo,75,pola,,,
W30,Dinas Sosial Provinsi Sulawesi Barat,https://dinsos.sulbarprov.go.id,Sulawesi Barat,76,pola,,,
W31,Dinas Sosial Provinsi Maluku,https://dinsos.malukuprov.go.id,Maluku,81,pola,,,
W32,Dinas Sosial Provinsi Maluku Utara,https://dinsos.malutprov.go.id,Maluku Utara,82,pola,,,
W33,Dinas Sosial Provinsi Papua,https://dinsos.papua.go.id,Papua,94,pola,,,
W34,Dinas Sosial Provinsi Papua Barat,https://dinsos.papuabaratprov.go.id,Papua Barat,91,pola,,,
