website_id,page_type,candidate_url,link_text,matched_keyword
W01,Profil,https://dinsos.acehprov.go.id/halaman/visi-dan-misi,VISI-MISI,visi
W01,Profil,https://dinsos.acehprov.go.id/halaman/tupoksi-dan-kewenangan,TUPOKSI,tupoksi
W01,Profil,https://dinsos.acehprov.go.id/halaman/struktur-organisasi,STRUKTUR ORGANISASI,struktur
W01,Layanan,https://dinsos.acehprov.go.id/halaman/sarana-layanan-ppid,SARANA LAYANAN PPID,layanan
W01,Layanan,https://dinsos.acehprov.go.id/halaman/maklumat-pelayanan,MAKLUMAT PELAYANAN,layanan
W01,Layanan,https://dinsos.acehprov.go.id/halaman/tata-cara-permohonan-informasi,TATA CARA PERMOHONAN INFORMASI,permohonan
W01,Konten,https://dinsos.acehprov.go.id/berita,BERITA,berita
W01,Konten,https://dinsos.acehprov.go.id/halaman/kegiatan,KEGIATAN PPID,kegiatan
W01,Konten,https://dinsos.acehprov.go.id/halaman/tata-cara-permohonan-informasi,TATA CARA PERMOHONAN INFORMASI,informasi
W01,Interaksi/Kontak,https://dinsos.acehprov.go.id/halaman/formulir-permohonan-informasi-publik,FORMULIR PERMOHONAN INFORMASI PUBLIK,formulir
W01,Interaksi/Kontak,https://dinsos.acehprov.go.id/halaman/formulir-keberatan-informasi-publik,FORMULIR KEBERATAN INFORMASI PUBLIK,formulir
W01,Interaksi/Kontak,https://dinsos.acehprov.go.id/halaman/tata-cara-pengaduan-dan-pelaporan,TATA CARA PENGADUAN,pengaduan
W02,Profil,https://dinsos.sumutprov.go.id/pages/tugas-dan-fungsi,Tugas dan Fungsi,tugas dan fungsi
W02,Profil,https://dinsos.sumutprov.go.id/pages/visi-misi-dan-motto,Visi Misi dan Motto,visi
W02,Profil,https://dinsos.sumutprov.go.id/pages/struktur-organisasi,Struktur Organisasi,struktur
W02,Layanan,https://dinsos.sumutprov.go.id/pages/maklumat-pelayanan,Maklumat Pelayanan,layanan
W02,Layanan,https://dinsos.sumutprov.go.id/pages/uptd-pelayanan-sosial,UPTD Pelayanan Sosial,layanan
W02,Layanan,https://dinsos.sumutprov.go.id/pages/standar-pelayanan,Standar Pelayanan,layanan
W02,Konten,https://dinsos.sumutprov.go.id/news,Berita,berita
W02,Konten,https://dinsos.sumutprov.go.id/berita-pemprov/jelang-porprovsu-2026-koni-sumut-intensifkan-pembinaan-atlet,"Jelang Porprovsu 2026, KONI Sumut Intensifkan Pembinaan Atlet",berita
W02,Konten,https://dinsos.sumutprov.go.id/berita-pemprov/gubernur-bobby-nasution-minta-ojk-perkuat-ekosistem-keuangan-syariah-di-sumut,Gubernur Bobby Nasution Minta OJK Perkuat Ekosistem Keuangan Syariah di Sumut,berita
W02,Interaksi/Kontak,https://dinsos.sumutprov.go.id/pages/kontak,Kontak,kontak
W03,Profil,https://dinsos.sumbarprov.go.id/profil,Profil,profil
W03,Profil,https://dinsos.sumbarprov.go.id/profilPpid,Profil PPID,profil
W03,Layanan,https://dinsos.sumbarprov.go.id/permohonanInformasi,Permohonan Informasi,permohonan
W03,Layanan,https://dinsos.sumbarprov.go.id/keberatanPermohonan,Keberatan Permohonan,permohonan
W03,Layanan,https://dinsos.sumbarprov.go.id/berita/penyerahan-bantuan-hibah-produk-hidup-kepada-psaa-baitur-rafki-as-sa%27diyah-wujud-pelayanan-nyata-untuk-masyarakat,Baca Selengkapnya,layanan
W03,Konten,https://dinsos.sumbarprov.go.id/berita,Berita,berita
W03,Konten,https://dinsos.sumbarprov.go.id/pengumuman,Pengumuman,pengumuman
W03,Konten,https://dinsos.sumbarprov.go.id/informasiSertaMerta,Informasi Serta Merta,informasi
W03,Interaksi/Kontak,https://dinsos.sumbarprov.go.id/pengumuman/mekanisme-konsultasi-dan-pengaduan,Baca Selengkapnya,pengaduan
W04,Profil,https://dinsos.riau.go.id/profil,Profil,profil
W04,Profil,https://dinsos.riau.go.id/profil-kepala-dinas,Baca Lebih Lanjut,profil
W04,Layanan,https://dinsos.riau.go.id/berita/19,Maklumat Layanan Informasi,layanan
W04,Layanan,https://dinsos.riau.go.id/layanan-publik,Layanan Publik,layanan
W04,Layanan,https://dinsos.riau.go.id/layanan-publik#content-bantuan,Pusat Bantuan (FAQ),layanan
W04,Konten,https://dinsos.riau.go.id/berita,Berita,berita
W04,Konten,https://dinsos.riau.go.id/berita/19,Maklumat Layanan Informasi,berita
W04,Konten,https://dinsos.riau.go.id/layanan-publik#content-dokumen,Dokumen Publikasi,publikasi
W04,Interaksi/Kontak,https://dinsos.riau.go.id/ppid/daftar-informasi/pengaduan-monitoring-pkh,"11. Pengaduan Masyarakat, Monitoring dan Evaluasi Program Keluarga Harapan (PKH)",pengaduan
W04,Interaksi/Kontak,https://dinsos.riau.go.id/kontak,Kontak,kontak
W05,Profil,,TIDAK KETEMU (Selenium juga) - cek manual,
W05,Layanan,,TIDAK KETEMU (Selenium juga) - cek manual,
W05,Konten,,TIDAK KETEMU (Selenium juga) - cek manual,
W05,Interaksi/Kontak,,TIDAK KETEMU (Selenium juga) - cek manual,
W06,Profil,https://dinsos.sumselprov.go.id/profil/struktur-organisasi,Struktur Organisasi,profil
