website_id,institution_name,domain,province_name,bps_region_code,status_domain,audit_date,crawl_status,total_pages_audited,final_url,http_code,debug_error
W01,Dinas Sosial Provinsi Aceh,https://dinsos.acehprov.go.id,Aceh,11,pola,,OK,,https://dinsos.acehprov.go.id/,200,
W02,Dinas Sosial Provinsi Sumatera Utara,https://dinsos.sumutprov.go.id,Sumatera Utara,12,pola,,OK,,https://dinsos.sumutprov.go.id/,200,
W03,Dinas Sosial Provinsi Sumatera Barat,https://dinsos.sumbarprov.go.id,Sumatera Barat,13,confirmed,,OK,,https://dinsos.sumbarprov.go.id/,200,
W04,Dinas Sosial Provinsi Riau,https://dinsos.riau.go.id/,Riau,14,pola,,OK,,https://dinsos.riau.go.id/,200,
W05,Dinas Sosial Provinsi Jambi,https://dinsos.jambiprov.go.id,Jambi,15,pola,,OK,,http://dinsos.jambiprov.go.id/ (pakai varian: http://dinsos.jambiprov.go.id),200,
W06,Dinas Sosial Provinsi Sumatera Selatan,https://dinsos.sumselprov.go.id,Sumatera Selatan,16,pola,,OK,,https://dinsos.sumselprov.go.id/,200,
W07,Dinas Sosial Provinsi Bengkulu,https://dinsos.bengkuluprov.go.id,Bengkulu,17,pola,,OK,,https://dinsos.bengkuluprov.go.id/,200,
W08,Dinas Sosial Provinsi Lampung,https://dinsos.lampungprov.go.id,Lampung,18,pola,,OK,,https://lampungprov.go.id/ (pakai varian: https://lampungprov.go.id),200,
W09,Dinas Sosial Provinsi Kepulauan Bangka Belitung,https://dinsospmd.babelprov.go.id/,Kepulauan Bangka Belitung,19,pola,,REDIRECT,,https://drupal.dinsospmd.babelprov.go.id,200,
W10,Dinas Sosial Provinsi Kepulauan Riau,https://dinsos.kepriprov.go.id,Kepulauan Riau,21,confirmed,,OK,,https://dinsos.kepriprov.go.id/,200,
W11,Dinas Sosial Provinsi DKI Jakarta,https://dinsos.jakarta.go.id,DKI Jakarta,31,confirmed,,OK,,https://dinsos.jakarta.go.id/,200,
W12,Dinas Sosial Provinsi Jawa Barat,https://dinsos.jabarprov.go.id,Jawa Barat,32,confirmed,,OK,,https://dinsos.jabarprov.go.id/,200,
W13,Dinas Sosial Provinsi Jawa Tengah,https://dinsos.jatengprov.go.id,Jawa Tengah,33,confirmed,,OK,,https://jatengprov.go.id/ (pakai varian: https://jatengprov.go.id),200,
W14,Dinas Sosial DI Yogyakarta,https://dinsos.jogjaprov.go.id,DI Yogyakarta,34,confirmed,,OK,,https://dinsos.jogjaprov.go.id/,200,
W15,Dinas Sosial Provinsi Jawa Timur,https://dinsos.jatimprov.go.id,Jawa Timur,35,confirmed,,OK,,https://dinsos.jatimprov.go.id/,200,
W16,Dinas Sosial Provinsi Banten,https://dinsos.bantenprov.go.id/,Banten,36,pola,,OK,,https://dinsos.bantenprov.go.id/,200,
W17,Dinas Sosial Provinsi Bali,https://dinsos.baliprov.go.id,Bali,51,pola,,REDIRECT,,https://www.baliprov.go.id/ (pakai varian: https://baliprov.go.id),200,
W18,Dinas Sosial Provinsi Nusa Tenggara Barat,https://dinsosntbpemprov.com/,Nusa Tenggara Barat,52,pola,,OK,,https://dinsosntbpemprov.com/,200,
W19,Dinas Sosial Provinsi Nusa Tenggara Timur,https://dinsos.nttprov.go.id,Nusa Tenggara Timur,53,pola,,OK,,https://dinsos.nttprov.go.id/,200,
W20,Dinas Sosial Provinsi Kalimantan Barat,https://dinsos.kalbarprov.go.id,Kalimantan Barat,61,pola,,OK,,https://dinsos.kalbarprov.go.id/,200,
W21,Dinas Sosial Provinsi Kalimantan Tengah,https://dinsos.kalteng.go.id/,Kalimantan Tengah,62,pola,,OK,,https://dinsos.kalteng.go.id/,200,
W22,Dinas Sosial Provinsi Kalimantan Selatan,https://dinsos.kalselprov.go.id,Kalimantan Selatan,63,pola,,OK,,https://dinsos.kalselprov.go.id/,200,
W23,Dinas Sosial Provinsi Kalimantan Timur,https://dinsos.kaltimprov.go.id,Kalimantan Timur,64,pola,,OK,,https://dinsos.kaltimprov.go.id/,200,
W24,Dinas Sosial Provinsi Kalimantan Utara,https://dinsos.kaltaraprov.go.id,Kalimantan Utara,65,pola,,OK,,https://dinsos.kaltaraprov.go.id/,200,
W25,Dinas Sosial Provinsi Sulawesi Utara,https://dinsos.sulutprov.go.id,Sulawesi Utara,71,pola,,REDIRECT,,https://sulutprov.go.id (pakai varian: http://dinsos.sulutprov.go.id),200,
W26,Dinas Sosial Provinsi Sulawesi Tengah,https://dinsos.sultengprov.go.id,Sulawesi Tengah,72,confirmed,,OK,,https://sultengprov.go.id/ (pakai varian: https://sultengprov.go.id),200,
W27,Dinas Sosial Provinsi Sulawesi Selatan,https://dinsos.sulselprov.go.id/,Sulawesi Selatan,73,pola,,OK,,https://sulselprov.go.id/ (pakai varian: https://sulselprov.go.id),200,
W28,Dinas Sosial Provinsi Sulawesi Tenggara,https://dinsos.sultraprov.go.id,Sulawesi Tenggara,74,pola,,DEAD,,semua varian gagal - cari domain pengganti manual,,"https://dinsos.sultraprov.go.id -> ConnectTimeout: HTTPSConnectionPool(host='dinsos.sultraprov.go.id', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPSConnection(host='dinsos.sultraprov.go.id', port=443) at 0x2bdcf5ca410>, 'Connection to dinsos.sultraprov.go.id timed out. (connect timeout=20)')) | http://dinsos.sultraprov.go.id -> ConnectTimeout: HTTPConnectionPool(host='dinsos.sultraprov.go.id', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPConnection(host='dinsos.sultraprov.go.id', port=80) at 0x2bdcf54fc40>, 'Connection to dinsos.sultraprov.go.id timed out. (connect timeout=20)')) | https://sultraprov.go.id -> ConnectTimeout: HTTPSConnectionPool(host='sultraprov.go.id', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPSConnection(host='sultraprov.go.id', port=443) at 0x2bdcf54f6d0>, 'Connection to sultraprov.go.id timed out. (connect timeout=20)')) | https://sultraprov.go.id/dinsos -> ConnectTimeout: HTTPSConnectionPool(host='sultraprov.go.id', port=443): Max retries exceeded with url: /dinsos (Caused by ConnectTimeoutError(<HTTPSConnection(host='sultraprov.go.id', port=443) at 0x2bdcf5c95d0>, 'Connection to sultraprov.go.id timed out. (connect timeout=20)')) | https://www.dinsos.sultraprov.go.id -> ConnectionError: HTTPSConnectionPool(host='www.dinsos.sultraprov.go.id', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.dinsos.sultraprov.go.id', port=443): Failed to resolve 'www.dinsos.sultraprov.go.id' ([Errno 11001] getaddrinfo failed)""))"
W29,Dinas Sosial Provinsi Gorontalo,https://dinsos.gorontaloprov.go.id,Gorontalo,75,pola,,OK,,https://dinsos.gorontaloprov.go.id/,200,
W30,Dinas Sosial Provinsi Sulawesi Barat,https://dinsos.sulbarprov.go.id,Sulawesi Barat,76,pola,,REDIRECT,,https://dinsosp3apmd.sulbarprov.go.id/,200,
W31,Dinas Sosial Provinsi Maluku,https://dinsos.malukuprov.go.id,Maluku,81,pola,,OK,,https://dinsos.malukuprov.go.id/,200,
W32,Dinas Sosial Provinsi Maluku Utara,https://dinsos.malutprov.go.id,Maluku Utara,82,pola,,OK,,https://malutprov.go.id/ (pakai varian: https://malutprov.go.id),200,
W33,Dinas Sosial Provinsi Papua,https://dinsosdukcapil.papua.go.id/,Papua,94,pola,,OK,,https://dinsosdukcapil.papua.go.id/,200,
